"visit_date","condition","time_spent_homepage_sec","clicked_article","clicked_like","clicked_share"
2018-01-01,"A1",57.879666647655,1,1,0
2018-01-01,"A1",59.241249327585,1,0,0
2018-01-01,"A1",59.6830466712991,1,0,0
2018-01-01,"A1",58.2649913264593,1,1,0
2018-01-01,"A1",58.8142060303654,1,0,0
2018-01-01,"A1",58.0695472909785,1,0,0
2018-01-01,"A1",58.1697673577707,0,0,0
2018-01-01,"A1",58.4778235148544,0,0,0
2018-01-01,"A1",59.3765817052456,0,0,0
2018-01-01,"A1",59.7415579433353,1,0,0
2018-01-01,"A1",59.494628830558,1,0,1
2018-01-01,"A1",60.7587179684246,0,0,0
2018-01-01,"A1",58.627595289777,1,0,0
2018-01-01,"A1",58.7964513628801,0,0,0
2018-01-01,"A1",60.2051446722324,1,0,0
2018-01-01,"A1",56.9744466689474,1,1,0
2018-01-01,"A1",60.683895201967,0,1,0
2018-01-01,"A1",58.7712551851342,1,0,0
2018-01-01,"A1",59.769637573941,0,1,1
2018-01-01,"A1",58.5289910025494,0,0,0
2018-01-01,"A1",59.5830129131527,0,0,0
2018-01-01,"A1",58.974283872281,1,0,0
2018-01-01,"A1",59.0683796724724,0,1,0
2018-01-01,"A1",58.3602487723889,1,0,0
2018-01-01,"A1",60.2195866782834,0,0,0
2018-01-01,"A1",59.110383489227,0,0,0
2018-01-01,"A1",60.430887398996,0,0,1
2018-01-01,"A1",56.5299344405642,0,1,0
2018-01-01,"A1",57.9585009596242,1,1,0
2018-01-01,"A1",58.5419416382779,1,0,0
2018-01-01,"A1",59.021127939512,0,1,0
2018-01-01,"A1",57.0045293535886,0,0,0
2018-01-01,"A1",57.8296760891637,0,0,1
2018-01-01,"A1",58.0696847637092,1,1,1
2018-01-01,"A1",61.1936630256859,0,0,0
2018-01-01,"A1",58.9268573831959,1,1,0
2018-01-01,"A1",59.9239200574333,0,1,0
2018-01-01,"A1",57.72487164096,0,0,0
2018-01-01,"A1",58.770678749251,1,0,0
2018-01-01,"A1",57.3774818832714,1,0,0
2018-01-01,"A1",59.396597810136,0,0,0
2018-01-01,"A1",58.9644930784691,1,0,0
2018-01-01,"A1",57.6701234931327,0,0,0
2018-01-01,"A1",58.9797999640212,0,0,0
2018-01-01,"A1",58.4689127457176,0,0,0
2018-01-01,"A1",59.0638814133517,0,1,0
2018-01-01,"A1",59.8986090330513,1,1,0
2018-01-01,"A1",59.4460602602331,1,0,0
2018-01-01,"A1",58.6609254498537,1,1,0
2018-01-01,"A1",59.1897528390626,1,0,0
2018-01-01,"A1",58.1079697154693,1,0,0
2018-01-01,"A1",59.365550483754,1,0,0
2018-01-01,"A1",59.1010841490027,0,0,0
2018-01-01,"A1",58.6766623786619,1,0,1
2018-01-01,"A1",58.7293020215835,0,0,0
2018-01-01,"A1",57.0376042979554,1,0,0
2018-01-01,"A1",60.0333547527863,0,0,0
2018-01-01,"A1",58.7530137583955,0,1,0
2018-01-01,"A1",58.6636568653578,0,1,1
2018-01-01,"A1",60.0619843203719,0,0,0
2018-01-01,"A1",57.3366494769449,0,0,0
2018-01-01,"A1",58.2999552774255,0,0,0
2018-01-01,"A1",61.5368930501365,0,0,0
2018-01-01,"A1",59.7400135369145,1,0,0
2018-01-01,"A1",56.1864451986446,0,0,0
2018-01-01,"A1",58.8748115668237,0,0,0
2018-01-01,"A1",60.0990683400638,1,0,0
2018-01-01,"A1",59.1332128540434,1,0,0
2018-01-01,"A1",59.3300973843462,1,0,0
2018-01-01,"A1",59.5682198185775,1,0,0
2018-01-01,"A1",58.4455321633071,1,0,0
2018-01-01,"A1",58.6600726891985,0,0,0
2018-01-01,"A1",58.4926538434099,1,1,0
2018-01-01,"A1",59.0074921687202,1,0,0
2018-01-01,"A1",58.8633922535923,1,0,0
2018-01-01,"A1",58.6125985879774,1,0,0
2018-01-01,"A1",56.7112176137875,0,0,0
2018-01-01,"A1",57.6844185105286,1,0,1
2018-01-01,"A1",59.2036882320841,1,0,0
2018-01-01,"A1",59.0710858612877,0,0,0
2018-01-01,"A1",59.6359870941179,0,0,0
2018-01-01,"A1",57.4243046110148,0,0,0
2018-01-01,"A1",59.7376391138468,1,0,0
2018-01-01,"A1",57.9951181434582,0,0,0
2018-01-01,"A1",59.5210607101533,1,0,0
2018-01-01,"A1",59.9272333395047,1,0,0
2018-01-01,"A1",58.4060569343616,1,0,0
2018-01-01,"A1",57.2695508924317,1,0,0
2018-01-01,"A1",58.6273509277309,1,0,0
2018-01-01,"A1",60.0940149147941,0,0,0
2018-01-01,"A1",60.4978496990965,0,0,0
2018-01-01,"A1",59.0052639666034,1,0,0
2018-01-01,"A1",59.4313346494076,0,0,0
2018-01-01,"A1",60.5660155365947,0,0,0
2018-01-01,"A1",57.7851752964531,0,0,0
2018-01-01,"A1",58.7229283300176,1,1,0
2018-01-01,"A1",57.944557625779,1,0,0
2018-01-01,"A1",58.7936586991831,1,0,0
2018-01-01,"A1",59.6304731108226,0,1,0
2018-01-01,"A1",58.6823981608819,0,0,0
2018-01-01,"A1",59.6883766038736,0,1,0
2018-01-01,"A1",59.2358553823562,0,1,0
2018-01-01,"A1",58.3958184548272,0,0,0
2018-01-01,"A1",58.8939587007589,1,0,0
2018-01-01,"A1",59.6763025071173,0,0,0
2018-01-01,"A1",59.741119004019,1,0,0
2018-01-01,"A1",60.3297101073492,0,0,0
2018-01-01,"A1",59.9694323416835,1,0,0
2018-01-01,"A1",58.7586913843422,1,0,0
2018-01-01,"A1",57.5052355033722,1,0,0
2018-01-01,"A1",59.0957359190582,1,0,0
2018-01-01,"A1",58.9855682548021,0,0,0
2018-01-01,"A1",60.1616860280673,0,0,0
2018-01-01,"A1",58.6191913504299,1,0,0
2018-01-01,"A1",60.2929026969199,0,0,0
2018-01-01,"A1",60.106774860071,1,0,0
2018-01-01,"A1",60.3649191152604,1,0,0
2018-01-01,"A1",58.186606327777,1,0,0
2018-01-01,"A1",60.0858295714349,1,0,0
2018-01-01,"A1",58.5416888522448,1,0,1
2018-01-01,"A1",57.5850664895331,1,0,0
2018-01-01,"A1",58.2298267102272,1,1,1
2018-01-01,"A1",59.2030306402423,1,1,1
2018-01-01,"A1",60.1844751872484,1,0,0
2018-01-01,"A1",58.1373491437547,0,0,1
2018-01-01,"A1",59.7441239638031,1,0,0
2018-01-01,"A1",59.6887554158215,1,0,0
2018-01-01,"A1",58.6199083769283,0,0,0
2018-01-01,"A1",58.5536185209458,1,0,1
2018-01-01,"A1",58.7435097149965,0,0,0
2018-01-01,"A1",59.2628804293918,1,0,0
2018-01-01,"A1",58.5929989798838,1,1,0
2018-01-01,"A1",58.2180293170953,1,0,0
2018-01-01,"A1",60.4582145415504,1,0,0
2018-01-01,"A1",59.2531154877177,1,0,0
2018-01-01,"A1",58.983468329389,0,0,0
2018-01-01,"A1",57.6493356827279,1,0,0
2018-01-01,"A1",58.9350828949235,1,1,0
2018-01-01,"A1",57.5024537308929,1,0,0
2018-01-01,"A1",59.4328199118342,1,0,0
2018-01-01,"A1",58.204676284184,0,0,0
2018-01-01,"A1",58.5594578841473,1,0,0
2018-01-01,"A1",58.9019939092559,0,0,0
2018-01-01,"A1",58.3605654869613,0,0,1
2018-01-01,"A1",56.5771448037427,1,0,0
2018-01-01,"A1",59.7573033314348,1,1,0
2018-01-01,"A1",60.0144968984351,1,0,0
2018-01-01,"A1",58.1239539268275,1,0,0
2018-01-01,"A1",57.9577999698812,1,1,0
2018-01-01,"A1",59.5976881928462,1,0,0
2018-01-01,"A1",57.4065652295267,0,1,0
2018-01-01,"A1",58.6835666744205,1,0,0
2018-01-01,"A1",60.2554284668772,1,1,0
2018-01-01,"A1",58.0352089757182,0,0,0
2018-01-01,"A1",60.4044930579805,0,0,0
2018-01-01,"A1",60.7097197644255,1,0,0
2018-01-01,"A1",59.9975553923858,0,0,0
2018-01-01,"A1",57.6975483427832,0,0,0
