"visit_date","word_one","word_two","time_spent_homepage_sec","clicked_article","clicked_like","clicked_share"
2018-05-01,"tips","better",48.3850729079541,0,0,0
2018-05-01,"tips","better",47.2608579449537,0,0,0
2018-05-01,"tips","better",49.1531579975851,1,1,0
2018-05-01,"tips","better",48.5695652468784,0,0,0
2018-05-01,"tips","better",48.4606533396403,1,1,0
2018-05-01,"tips","better",48.3069210339734,1,0,0
2018-05-01,"tips","better",48.298955131575,1,0,0
2018-05-01,"tips","better",48.961339934837,1,0,0
2018-05-01,"tips","better",48.6494596664969,0,1,0
2018-05-01,"tips","better",49.100572453016,1,0,0
2018-05-01,"tips","better",48.5915777813592,1,0,1
2018-05-01,"tips","better",49.1049799101149,1,0,1
2018-05-01,"tips","better",47.8538015842016,1,0,0
2018-05-01,"tips","better",48.4616512263945,1,0,0
2018-05-01,"tips","better",47.8506196427269,1,0,1
2018-05-01,"tips","better",48.2455839746986,1,0,0
2018-05-01,"tips","better",47.2304161818898,1,0,1
2018-05-01,"tips","better",47.5121730601969,1,0,0
2018-05-01,"tips","better",47.5557632206499,1,0,0
2018-05-01,"tips","better",47.5386570658604,0,1,0
2018-05-01,"tips","better",48.2262514890493,1,0,0
2018-05-01,"tips","better",47.1172145893746,1,0,0
2018-05-01,"tips","better",48.4222633138327,0,1,0
2018-05-01,"tips","better",46.7588194106045,1,0,0
2018-05-01,"tips","better",47.2196002242001,1,1,0
2018-05-01,"tips","better",47.1614511865891,0,0,0
2018-05-01,"tips","better",47.3760483105929,1,1,0
2018-05-01,"tips","better",45.6157943070864,1,0,0
2018-05-01,"tips","better",47.328454660229,1,1,0
2018-05-01,"tips","better",47.0806554519105,1,1,0
2018-05-01,"tips","better",47.6322746638972,1,1,0
2018-05-01,"tips","better",47.4306595036849,1,0,0
2018-05-01,"tips","better",46.2962349513118,1,0,0
2018-05-01,"tips","better",47.0750265644518,0,0,0
2018-05-01,"tips","better",48.1862097025809,0,0,0
2018-05-01,"tips","better",47.6338949370642,1,0,0
2018-05-01,"tips","better",46.8952342806316,1,0,1
2018-05-01,"tips","better",47.6544783866981,1,0,0
2018-05-01,"tips","better",49.0340362050781,1,0,0
2018-05-01,"tips","better",47.0257814980069,1,1,0
2018-05-01,"tips","better",47.2531848134643,1,0,0
2018-05-01,"tips","better",48.428365682507,1,0,0
2018-05-01,"tips","better",47.3704499846562,1,0,0
2018-05-01,"tips","better",48.3832876783135,0,0,0
2018-05-01,"tips","better",48.6915531390815,1,0,0
2018-05-01,"tips","better",46.7979158321621,1,0,0
2018-05-01,"tips","better",47.0938048003211,1,0,1
2018-05-01,"tips","better",48.9642169161104,1,1,0
2018-05-01,"tips","better",47.1593660920378,0,0,0
2018-05-01,"tips","better",47.4844738754045,1,0,0
2018-05-01,"tips","better",47.2594398235384,0,0,0
2018-05-01,"tips","better",47.3051957588806,1,0,0
2018-05-01,"tips","better",48.3291637548677,0,1,0
2018-05-01,"tips","better",47.2018218692336,0,0,0
2018-05-01,"tips","better",47.0033965467092,0,0,0
2018-05-01,"tips","better",48.072289037817,0,0,0
2018-05-01,"tips","better",47.0973924828062,1,0,0
2018-05-01,"tips","better",48.2478704670323,0,0,0
2018-05-01,"tips","better",46.3842949427971,0,0,0
2018-05-01,"tips","better",47.3882573902473,1,1,0
2018-05-01,"tips","better",47.8848888325305,1,0,0
2018-05-01,"tips","better",45.9622328194029,1,0,0
2018-05-01,"tips","better",49.1081681393387,0,1,0
2018-05-01,"tips","better",47.2250170335268,0,0,0
2018-05-01,"tips","better",47.2881797188363,1,0,1
2018-05-01,"tips","better",47.8848604486644,1,1,0
2018-05-01,"tips","better",48.1686938914689,1,0,0
2018-05-01,"tips","better",51.0858159626052,1,0,1
2018-05-01,"tips","better",46.7978592783769,1,1,0
2018-05-01,"tips","better",48.5958890131399,1,0,0
2018-05-01,"tips","better",47.8284797943785,0,0,0
2018-05-01,"tips","better",47.9898289861517,1,0,0
2018-05-01,"tips","better",45.5916628620347,1,1,0
2018-05-01,"tips","better",47.9995987390532,1,0,0
2018-05-01,"tips","better",46.7476999739933,1,1,0
2018-05-01,"tips","better",47.1975645116369,1,0,0
2018-05-01,"tips","better",48.4435125315334,1,0,0
2018-05-01,"tips","better",47.6321792827951,1,0,0
2018-05-01,"tips","better",48.9767238090716,1,1,0
2018-05-01,"tips","better",49.0049309611013,1,0,0
2018-05-01,"tips","better",47.7638408009052,1,0,0
2018-05-01,"tips","better",48.1534700410823,1,0,0
2018-05-01,"tips","better",48.3028583412547,0,0,0
2018-05-01,"tips","better",49.8941347129767,1,1,0
2018-05-01,"tips","better",48.4307434117937,0,0,0
2018-05-01,"tips","better",48.0140515566037,1,0,0
2018-05-01,"tips","better",48.2710721038439,1,0,0
2018-05-01,"tips","better",48.3918610937897,1,1,0
2018-05-01,"tips","better",47.3266402110351,0,1,0
2018-05-01,"tips","better",47.1879028839241,1,1,0
2018-05-01,"tips","better",48.2832728176047,1,0,0
2018-05-01,"tips","better",48.9997333945121,1,1,0
2018-05-01,"tips","better",47.9096082857056,1,0,0
2018-05-01,"tips","better",46.9236991892801,1,0,0
2018-05-01,"tips","better",49.6660060339294,1,0,1
2018-05-01,"tips","better",48.3768987645486,1,0,0
2018-05-01,"tips","better",46.8419248023746,1,0,0
2018-05-01,"tips","better",47.1723732035201,1,1,0
2018-05-01,"tips","better",48.2734593872236,1,1,0
2018-05-01,"tips","better",48.4046079574418,0,0,0
2018-05-01,"tips","better",47.5656929407936,1,0,0
2018-05-01,"tips","better",47.8576469179197,1,0,0
2018-05-01,"tips","better",49.2522757693763,1,0,0
2018-05-01,"tips","better",46.6254542761691,1,0,0
2018-05-01,"tips","better",46.2332526027711,1,0,0
2018-05-01,"tips","better",47.3797806349614,1,0,0
2018-05-01,"tips","better",48.1826896605869,0,1,0
2018-05-01,"tips","better",48.5268861217036,1,0,0
2018-05-01,"tips","better",48.3644738861084,1,0,0
2018-05-01,"tips","better",47.7707456131574,1,0,1
2018-05-01,"tips","better",48.5677654385507,1,0,0
2018-05-01,"tips","better",47.1617891326046,0,0,0
2018-05-01,"tips","better",47.5127399599944,0,0,0
